[2025-10-22 23:28:01] Regel: sommer | Zeit: 23:28 | Tor: ZU
[2025-10-22 23:29:01] Regel: sommer | Zeit: 23:29 | Tor: ZU
[2025-10-22 23:30:01] Regel: sommer | Zeit: 23:30 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:31:01] Regel: sommer | Zeit: 23:31 | Tor: ZU
[2025-10-22 23:32:02] Regel: sommer | Zeit: 23:32 | Tor: ZU
[2025-10-22 23:33:01] Regel: sommer | Zeit: 23:33 | Tor: ZU
[2025-10-22 23:34:01] Regel: sommer | Zeit: 23:34 | Tor: ZU
[2025-10-22 23:35:01] Regel: sommer | Zeit: 23:35 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:36:01] Regel: sommer | Zeit: 23:36 | Tor: ZU
[2025-10-22 23:37:01] Regel: sommer | Zeit: 23:37 | Tor: ZU
[2025-10-22 23:38:01] Regel: sommer | Zeit: 23:38 | Tor: ZU
[2025-10-22 23:39:01] Regel: sommer | Zeit: 23:39 | Tor: ZU
[2025-10-22 23:40:01] Regel: sommer | Zeit: 23:40 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:41:01] Regel: sommer | Zeit: 23:41 | Tor: ZU
[2025-10-22 23:42:02] Regel: sommer | Zeit: 23:42 | Tor: ZU
[2025-10-22 23:43:01] Regel: sommer | Zeit: 23:43 | Tor: ZU
[2025-10-22 23:44:01] Regel: sommer | Zeit: 23:44 | Tor: ZU
[2025-10-22 23:45:01] Regel: sommer | Zeit: 23:45 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:46:01] Regel: sommer | Zeit: 23:46 | Tor: ZU
[2025-10-22 23:47:01] Regel: sommer | Zeit: 23:47 | Tor: ZU
[2025-10-22 23:48:01] Regel: sommer | Zeit: 23:48 | Tor: ZU
[2025-10-22 23:49:01] Regel: sommer | Zeit: 23:49 | Tor: ZU
[2025-10-22 23:50:02] Regel: sommer | Zeit: 23:50 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:51:01] Regel: sommer | Zeit: 23:51 | Tor: ZU
[2025-10-22 23:52:01] Regel: sommer | Zeit: 23:52 | Tor: ZU
[2025-10-22 23:53:02] Regel: sommer | Zeit: 23:53 | Tor: ZU
[2025-10-22 23:54:01] Regel: sommer | Zeit: 23:54 | Tor: ZU
[2025-10-22 23:55:01] Regel: sommer | Zeit: 23:55 | Tor: ZU → Schließimpuls gesendet
[2025-10-22 23:56:01] Regel: sommer | Zeit: 23:56 | Tor: ZU
[2025-10-22 23:57:01] Regel: sommer | Zeit: 23:57 | Tor: ZU
[2025-10-22 23:58:01] Regel: sommer | Zeit: 23:58 | Tor: ZU
[2025-10-22 23:59:02] Regel: sommer | Zeit: 23:59 | Tor: ZU
[2025-10-23 00:00:01] Regel: sommer | Zeit: 00:00 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:01:01] Regel: sommer | Zeit: 00:01 | Tor: ZU
[2025-10-23 00:02:01] Regel: sommer | Zeit: 00:02 | Tor: ZU
[2025-10-23 00:03:01] Regel: sommer | Zeit: 00:03 | Tor: ZU
[2025-10-23 00:04:01] Regel: sommer | Zeit: 00:04 | Tor: ZU
[2025-10-23 00:05:01] Regel: sommer | Zeit: 00:05 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:06:01] Regel: sommer | Zeit: 00:06 | Tor: ZU
[2025-10-23 00:07:01] Regel: sommer | Zeit: 00:07 | Tor: ZU
[2025-10-23 00:08:01] Regel: sommer | Zeit: 00:08 | Tor: ZU
[2025-10-23 00:09:01] Regel: sommer | Zeit: 00:09 | Tor: ZU
[2025-10-23 00:10:01] Regel: sommer | Zeit: 00:10 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:11:01] Regel: sommer | Zeit: 00:11 | Tor: ZU
[2025-10-23 00:12:01] Regel: sommer | Zeit: 00:12 | Tor: ZU
[2025-10-23 00:13:02] Regel: sommer | Zeit: 00:13 | Tor: ZU
[2025-10-23 00:14:01] Regel: sommer | Zeit: 00:14 | Tor: ZU
[2025-10-23 00:15:01] Regel: sommer | Zeit: 00:15 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:16:01] Regel: sommer | Zeit: 00:16 | Tor: ZU
[2025-10-23 00:17:01] Regel: sommer | Zeit: 00:17 | Tor: ZU
[2025-10-23 00:18:01] Regel: sommer | Zeit: 00:18 | Tor: ZU
[2025-10-23 00:19:01] Regel: sommer | Zeit: 00:19 | Tor: ZU
[2025-10-23 00:20:01] Regel: sommer | Zeit: 00:20 | Tor: ZU → Schließimpuls gesendet
[2025-10-23 00:21:01] Regel: sommer | Zeit: 00:21 | Tor: ZU
[2025-10-23 00:22:01] Regel: sommer | Zeit: 00:22 | Tor: ZU
[2025-10-23 00:23:01] Regel: sommer | Zeit: 00:23 | Tor: ZU
